대여소 명,대여 건수,대여일자/월
3653. 강동리버스트4단지아파트 404동 앞,675,202206
4829. 신내동 한살림 중랑지구 북축,675,202206
1287. 위례아이파크 101동 맞은편,675,202206
1537. 북한산 우이역,676,202206
1183. KC 대학교,676,202206
2312. 청담역 13번 출구 앞,677,202206
2233. 서초신동아1차아파트 옆,680,202206
4862. 성내교 남단,682,202206
975.백련산 힐스테이트상가앞,682,202206
1660. 서울시립과학관,682,202206
2364. 도산공원교차로,683,202206
2360. 도곡1동 주민센터 교차로,684,202206
1441. 신내능말공원,684,202206
638. 서울시립대 정보기술관,685,202206
866.브라운스톤 남산아파트,686,202206
1367. 길음문화복합미디어센터,686,202206
4599. 대림우성아파트 사거리,686,202206
3107. 연희초등학교 앞,687,202206
425. DMC첨단산업센터,688,202206
3655. 둔촌신성미소지움아파트,689,202206
2178. 서울대학교 정문,692,202206
3903. 현대아파트 앞,693,202206
3917. 성공회대학교,694,202206
3692. 둔촌오륜역 1번 출구,694,202206
